ID,Brand,Product,Price,Category,Subcategory,gluten_free_score,image_url
36861,,Koncho Winery Alazanis Valley White 2020,13.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/6/8/036861.jpg.thumb.319.319.png
37292,,Projection Winemaker's Cut Cabernet Sauvignon 2021,18.25,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/7/2/037292.jpg.thumb.319.319.png
37791,,Georgian Royal Wine GRW Mukuzani Dry Red 2021,17.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/7/7/037791.jpg.thumb.319.319.png
37890,,Diwine Bulas Cruz 2020,18.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/7/8/037890.jpg.thumb.319.319.png
37965,,Henry of Pelham Sparkling Wine VQA,17.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/7/9/037965.jpg.thumb.319.319.png
38283,,Clos du Soleil Winemaker's Series Syrah 2021,49.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/8/2/038283.jpg.thumb.319.319.png
38464,,Aslanis Family Winery Assyrtiko 2022,30.40,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/8/4/038464.jpg.thumb.319.319.png
38625,,Seven Numbers Traditional Brut Sparkling Wine,39.15,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/8/6/038625.jpg.thumb.319.319.png
38719,,Domaine Glinavos Agate Orange Dry Wine 2020,31.10,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/8/7/038719.jpg.thumb.319.319.png
39147,,Château Saint Roch Tangerina Orange Wine 2022,24.90,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/9/1/039147.jpg.thumb.319.319.png
39186,,Nanit Orange Wine 2023,20.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/9/1/039186.jpg.thumb.319.319.png
39754,,Primo Monte Skin Fermented Natural Wine 2023,18.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/3/9/7/039754.jpg.thumb.319.319.png
40136,,Paglione Estate Winery Cabernet Sauvignon Rose VQA,17.95,Wine,Rosé Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/0/1/040136.jpg.thumb.319.319.png
40205,,Vaeni En Lefko Malagouzia Xinomavro White Wine 2023,22.60,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/0/2/040205.jpg.thumb.319.319.png
40206,,Vaeni Damaskinos Xinomavro Red Wine 2019,22.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/0/2/040206.jpg.thumb.319.319.png
40683,,Nct Winery Riesling 2005,14.85,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/0/6/040683.jpg.thumb.319.319.png
41124,,Alexandrov Wine Collection Mukuzani Bio Dry Red 2022,38.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/1/1/041124.jpg.thumb.319.319.png
41289,,Corporation Georgian Wine Akido Mukuzani Red 2021,21.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/1/2/041289.jpg.thumb.319.319.png
41444,,Nederburg The Winemasters Chardonnay 2022,18.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/1/4/041444.jpg.thumb.319.319.png
42139,,Mionetto Prestige De-Alcoholized Sparkling Wine,18.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/2/1/042139.jpg.thumb.319.319.png
42789,,Souffle de Solaure Clairette De Die Sparkling Wine 2023,26.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/2/7/042789.jpg.thumb.319.319.png
43425,,Altitude Rose Novus Winery 2023,15.95,Wine,Rosé Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/3/4/043425.jpg.thumb.319.319.png
43426,,Acquarella Novus Winery Rose 2023,24.95,Wine,Rosé Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/4/3/4/043426.jpg.thumb.319.319.png
69351,Imperial,Imperial Fortified Wine,11.95,Wine,Fortified Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/6/9/3/069351.jpg.thumb.319.319.png
71332,,Man Family Wines Skaapveld Shiraz 2023,14.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/7/1/3/071332.jpg.thumb.319.319.png
128025,Dalton,Dalton Winery Canaan White KPM,20.45,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/2/8/0/128025.jpg.thumb.319.319.png
135376,Ghost Pines,Ghost Pines Winemaker's Blend Cabernet Sauvignon 2020,24.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/3/5/3/135376.jpg.thumb.319.319.png
136010,,Pelee Island Winery Late Harvest Riesling 2021,15.60,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/1/3/6/0/136010.jpg.thumb.319.319.png
